Benefit Name,Unit of Measurement,DefaultDisbursementQuantity,Benefit Type Name,Benefit Type,BenefitCategory,Unit of Measure Id,BenefitTypeId,BenefitStatus,Program Id,Program Name,IsActive,EndDateTime,StartDateTime
Housing,Bed Night,1,Housing,Service,Housing,0hERT0000000ptm2AA,0jhRT0000000PhZYAU,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Education Support,Session,1,Education,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhaYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Financial Education and Navigation,Session,1,Education,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhaYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Employment Support,Session,1,Employment,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhbYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Mental Health Support,Session,1,Social/Emotional,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Legal Support,Session,1,Education,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhaYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Public Benefits Support,Session,1,Education,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhaYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Vital Document Support,Session,1,Education,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhaYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Parenting Support,Session,1,Social/Emotional,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Substance Use Support,Session,1,Social/Emotional,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Conflict Resolution Support,Session,1,Social/Emotional,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Emotional Processing,Session,1,Social/Emotional,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Community Resource Navigation,Session,1,Social/Emotional,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Case Management Meeting,Case Mgmt Hour,1,Case Management,Service,Case Management,0hERT0000000ptp2AA,0jhRT0000000PhdYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Point Store Access,Voucher,1,Basic Needs,Goods,Case Management,0hERT0000000ptw2AA,0jhRT0000000PheYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Food Pantry Access - Onsite,Voucher,1,Basic Needs,Goods,Case Management,0hERT0000000ptw2AA,0jhRT0000000PheYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Meal Provided,Meal,1,Basic Needs,Goods,Material Suppport,0hERT0000000ptl2AA,0jhRT0000000PheYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",Session,1,Police Intervention,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhqYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Mental Health,Referral,1,Social/Emotional,Service,Clinical,0hERT0000000pts2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Education,Referral,1,Education,Service,Clinical,0hERT0000000pts2AA,0jhRT0000000PhaYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Physical Health,Referral,1,Medical,Service,Clinical,0hERT0000000pts2AA,0jhRT0000000PhiYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Other supports,Referral,1,Social/Emotional,Service,Clinical,0hERT0000000pts2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Pre-Lease Violation Support,Session,1,Housing Navigation,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Lease Violation Meeting,Session,1,Housing Navigation,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Tenant Retention Plan,Session,1,Housing Navigation,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Rental Assistance with Budget,Session,1,Housing Navigation,Monetary,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Eviction/ Mutual Rescission Support,Session,1,Housing Navigation,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Housekeeping,Session,1,Housing Navigation,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Voucher Support,Session,1,Housing Navigation,Goods,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Move Out Assistance,Session,1,Housing Navigation,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhjYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Initial Planning Meeting,Session,1,Care Coordination,Service,Clinical,0hERT0000000pto2AA,0jhRT0000000PhoYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Updates and Progress,Session,1,Care Coordination,Service,Clinical,0hERT0000000pto2AA,0jhRT0000000PhoYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Community Engagement,Group Hour,4,Community Outing,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhmYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Life Skills,Group Hour,1,Basic Needs,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PheYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
GED,Group Hour,1,Education,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhaYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
"Wellness, Mental Health, Mindfulness and Meditation.",Group Hour,1,Social/Emotional,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Resident Advisory Council,Group Hour,1,Group Session,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhlYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Peer Support,Group Hour,1,Group Session,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhlYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Therapeutic,Group Hour,1,Peer Clinical,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhsYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Prosocial,Group Hour,4,Community Outing,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhmYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Physical/Mental Wellness,Group Hour,4,Community Outing,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhmYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Food Access,Group Hour,4,Community Outing,Service,Clinical,0hERT0000000ptq2AA,0jhRT0000000PhmYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Individual Support,Session,1,Community Outing,Service,Clinical,0hERT0000000pto2AA,0jhRT0000000PhmYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
